NCT00890825	Dr. Gabriella Mariani	AstraZeneca, Hertfordshire, UK	Gabriel Martins		0.497
NCT00955773	GSK Clinical Trials	GlaxoSmithKline	Georgios Tzimas		0.470
NCT02259114	Medical Director	Merck Sharp & Dohme LLC	Mark Dzietko		0.470
NCT03415126	Medical Monitor	Asana BioSciences	Matilde Monti		0.470
NCT03948763	Medical Director	Merck Sharp and Dohme LLC	Mark Dzietko		0.470
NCT04959981	Joyce Antal	Senior Director, Clinical Development	Jonathan Mant		0.470
NCT05180422	Wade Iams, MD, MSCI	Vanderbilt University Medical Center	Michelle Adams		0.497
NCT05273047	Florian Guisier	Rouen - CHU	Firoza Lussier		0.497
NCT05451056	Byoung Chul Cho	Yonsei University Health System, Severance Hospital	Barry Ticho		0.517
NCT06244771	Medical Lead	Frontier Medicines Corporation	Matilde Leonardi		0.470
NCT06345729	Medical Director	Merck Sharp & Dohme LLC	Mark Dzietko		0.470
NCT06385925	Cindy Li	Tyligand Bioscience (Shanghai) Limited	Chuanzhou Li		0.575
NCT06946927	Yilong Wu	Guangdong Provincial People's Hospital	Yuan Wu		0.575
NCT07094204	Medical Lead	Astellas Pharma Inc	Matilde Leonardi		0.470
NCT07190248	Medical Director	Merck Sharp & Dohme LLC	Mark Dzietko		0.470
NCT07252739	Medical Director	Merck Sharp & Dohme LLC	Mark Dzietko		0.470
NCT07286149	Medical Director	Merck Sharp & Dohme LLC	Mark Dzietko		0.470
NCT00890825	Dr. Gabriella Mariani	AstraZeneca, Hertfordshire, UK	Gabriel Martins		0.497
NCT02259114	Medical Director	Merck Sharp & Dohme LLC	Mark Dzietko		0.470
NCT03415126	Medical Monitor	Asana BioSciences	Matilde Monti		0.470
NCT03948763	Medical Director	Merck Sharp and Dohme LLC	Mark Dzietko		0.470
NCT05180422	Wade Iams, MD, MSCI	Vanderbilt University Medical Center	Michelle Adams		0.497
NCT05273047	Florian Guisier	Rouen - CHU	Firoza Lussier		0.497
NCT05451056	Byoung Chul Cho	Yonsei University Health System, Severance Hospital	Barry Ticho		0.517
NCT06244771	Medical Lead	Frontier Medicines Corporation	Matilde Leonardi		0.470
NCT06345729	Medical Director	Merck Sharp & Dohme LLC	Mark Dzietko		0.470
NCT06385925	Cindy Li	Tyligand Bioscience (Shanghai) Limited	Chuanzhou Li		0.575
NCT06946927	Yilong Wu	Guangdong Provincial People's Hospital	Yuan Wu		0.575
NCT07094204	Medical Lead	Astellas Pharma Inc	Matilde Leonardi		0.470
NCT07190248	Medical Director	Merck Sharp & Dohme LLC	Mark Dzietko		0.470
NCT07252739	Medical Director	Merck Sharp & Dohme LLC	Mark Dzietko		0.470
NCT07286149	Medical Director	Merck Sharp & Dohme LLC	Mark Dzietko		0.470
NCT00890825	Dr. Gabriella Mariani	AstraZeneca, Hertfordshire, UK	Gabriel Martins		0.497
NCT02259114	Medical Director	Merck Sharp & Dohme LLC	Mark Dzietko		0.470
NCT03415126	Medical Monitor	Asana BioSciences	Matilde Monti		0.470
NCT03948763	Medical Director	Merck Sharp and Dohme LLC	Mark Dzietko		0.470
NCT05180422	Wade Iams, MD, MSCI	Vanderbilt University Medical Center	Michelle Adams	Cincinnati Children's Research Foundation, Cincinnati Children's Hospital Medical Center, Cincinnati, OH.	0.465
NCT05273047	Florian Guisier	Rouen - CHU	Firoza Lussier		0.497
NCT05451056	Byoung Chul Cho	Yonsei University Health System, Severance Hospital	Barry Ticho		0.517
NCT06244771	Medical Lead	Frontier Medicines Corporation	Matilde Leonardi		0.470
NCT06345729	Medical Director	Merck Sharp & Dohme LLC	Mark Dzietko		0.470
NCT06385925	Cindy Li	Tyligand Bioscience (Shanghai) Limited	Chuanzhou Li		0.575
NCT06946927	Yilong Wu	Guangdong Provincial People's Hospital	Yuan Wu		0.575
NCT07094204	Medical Lead	Astellas Pharma Inc	Matilde Leonardi		0.470
NCT07190248	Medical Director	Merck Sharp & Dohme LLC	Mark Dzietko		0.470
NCT07252739	Medical Director	Merck Sharp & Dohme LLC	Mark Dzietko		0.470
NCT07286149	Medical Director	Merck Sharp & Dohme LLC	Mark Dzietko		0.470
